ID_Odontologo,Nombre_Odontologo,Especialidad,Telefono,Correo_Electronico,ID_Sede
82,Mary Jones,Periodoncia,3161558511,mary.jones@sonrisalud.com,27
83,Matthew Rowland,Periodoncia,31569486,matthew.rowland@sonrisalud.com,21
84,Mark Burke,Endodoncia,3914404880,mark.burke@sonrisalud.com,10
85,Tyler Brown,Odontologia General,3807185395,tyler.brown@sonrisalud.com,1
86,Allen Vaughn,Ortodoncia,3192510715,allen.vaughn@sonrisalud.com,3
87,Larry Gonzalez,Periodoncia,3849279832,larry.gonzalez@sonrisalud.com,9
88,Victoria Becker PhD,Odontologia General,326711771,victoria.becker.phd@sonrisalud.com,19
89,Emily Lee,Periodoncia,3156013042,emily.lee@sonrisalud.com,13
90,Ronald Christensen,Endodoncia,3951734590,ronald.christensen@sonrisalud.com,22
91,Janet Alvarez,Odontologia General,3892602974,janet.alvarez@sonrisalud.com,15
92,Amber Cooper,Endodoncia,3326927152,amber.cooper@sonrisalud.com,2
93,Jasmine Hamilton,Endodoncia,3526917400,jasmine.hamilton@sonrisalud.com,15
94,Lori Dillon,Periodoncia,3301823543,lori.dillon@sonrisalud.com,24
95,Mrs. Tiffany Robinson DDS,Ortodoncia,3703741818,mrs..tiffany.robinson.dds@sonrisalud.com,12
96,Brian Hogan,Odontologia General,3545130253,brian.hogan@sonrisalud.com,14
97,Anthony Madden,Endodoncia,3133250180,anthony.madden@sonrisalud.com,25
98,Thomas Lopez,Periodoncia,3451174686,thomas.lopez@sonrisalud.com,17
99,Vincent Reed,Periodoncia,3928556409,vincent.reed@sonrisalud.com,25
100,Olivia Howe,Periodoncia,3131945113,olivia.howe@sonrisalud.com,16
101,Max Morris,Endodoncia,3844463786,max.morris@sonrisalud.com,3
102,Stephanie Smith,Ortodoncia,3867300770,stephanie.smith@sonrisalud.com,22
103,Jessica Brown,Periodoncia,3658590255,jessica.brown@sonrisalud.com,7
104,David Hoffman,Odontologia General,3833198992,david.hoffman@sonrisalud.com,16
105,Corey Tate,Ortodoncia,36538374,corey.tate@sonrisalud.com,12
106,George Moran,Periodoncia,3651183965,george.moran@sonrisalud.com,21
107,Steven Barnes,Periodoncia,3942100865,steven.barnes@sonrisalud.com,19
108,Mrs. Jessica Miller,Periodoncia,3956861696,mrs..jessica.miller@sonrisalud.com,20
109,Jimmy Cain,Odontologia General,3994970271,jimmy.cain@sonrisalud.com,8
110,Joseph Thomas,Endodoncia,3636371002,joseph.thomas@sonrisalud.com,11
111,Lisa Reese,Periodoncia,3619202860,lisa.reese@sonrisalud.com,1
112,James Webb,Periodoncia,3463536280,james.webb@sonrisalud.com,27
113,Jeanne Kennedy,Periodoncia,3697421939,jeanne.kennedy@sonrisalud.com,28
114,Latasha White,Endodoncia,3757948746,latasha.white@sonrisalud.com,10
115,Dakota Ashley,Ortodoncia,3468657849,dakota.ashley@sonrisalud.com,21
116,Richard Johnson,Ortodoncia,3405217974,richard.johnson@sonrisalud.com,14
117,John Campbell,Endodoncia,328419790,john.campbell@sonrisalud.com,3
118,Timothy Gray,Endodoncia,3701231854,timothy.gray@sonrisalud.com,29
119,Edward Walker,Odontologia General,3909668155,edward.walker@sonrisalud.com,12
120,Diana Stanton,Odontologia General,3736715062,diana.stanton@sonrisalud.com,15
121,Carol Weber,Endodoncia,393103026,carol.weber@sonrisalud.com,6
122,Brenda Vargas,Odontologia General,3382960888,brenda.vargas@sonrisalud.com,29
123,James Jackson,Ortodoncia,3814190853,james.jackson@sonrisalud.com,7
124,April Edwards,Odontologia General,3277805419,april.edwards@sonrisalud.com,20
125,Lisa Craig,Odontologia General,3888478772,lisa.craig@sonrisalud.com,27
126,Michelle Moreno,Odontologia General,3307973715,michelle.moreno@sonrisalud.com,28
127,Donald Aguilar,Periodoncia,3414662512,donald.aguilar@sonrisalud.com,31
128,Matthew Rangel,Endodoncia,3457389837,matthew.rangel@sonrisalud.com,4
129,David Hodge,Periodoncia,3404568623,david.hodge@sonrisalud.com,21
130,Sharon Hawkins,Periodoncia,3791361868,sharon.hawkins@sonrisalud.com,8
131,Tiffany Lewis,Endodoncia,3396436265,tiffany.lewis@sonrisalud.com,9
132,Steven Rivera,Endodoncia,3186970328,steven.rivera@sonrisalud.com,26
133,Robin Fry,Periodoncia,3797826912,robin.fry@sonrisalud.com,26
134,Brian Armstrong,Ortodoncia,3367058838,brian.armstrong@sonrisalud.com,24
135,Christopher Beck,Ortodoncia,3836391734,christopher.beck@sonrisalud.com,30
136,Marcia Johnson,Ortodoncia,3555019888,marcia.johnson@sonrisalud.com,24
137,Joseph Rowe,Odontologia General,3789172579,joseph.rowe@sonrisalud.com,14
138,Douglas Harrington,Odontologia General,3384589094,douglas.harrington@sonrisalud.com,27
139,Tyler Becker,Odontologia General,3136533941,tyler.becker@sonrisalud.com,21
140,Benjamin Williams,Odontologia General,3317851505,benjamin.williams@sonrisalud.com,8
141,Tammy Ramirez,Ortodoncia,3609940312,tammy.ramirez@sonrisalud.com,2
142,Clinton Sims,Ortodoncia,3927200929,clinton.sims@sonrisalud.com,8
143,Brent Shaw,Odontologia General,333853636,brent.shaw@sonrisalud.com,16
144,Joshua Vasquez,Odontologia General,3513561070,joshua.vasquez@sonrisalud.com,29
145,Kathleen Moore,Periodoncia,3536370682,kathleen.moore@sonrisalud.com,17
146,Micheal Cook,Odontologia General,3421384158,micheal.cook@sonrisalud.com,30
147,Johnathan Jones,Ortodoncia,379883851,johnathan.jones@sonrisalud.com,22
148,Christopher Miller,Endodoncia,3931161225,christopher.miller@sonrisalud.com,3
149,Todd Moore,Ortodoncia,3413354717,todd.moore@sonrisalud.com,2
150,John Strong,Endodoncia,3402127636,john.strong@sonrisalud.com,30
151,Jessica Vaughn,Ortodoncia,3823666838,jessica.vaughn@sonrisalud.com,29
152,Matthew Berg,Periodoncia,3572825034,matthew.berg@sonrisalud.com,7
153,Frederick Garrison,Endodoncia,3491823596,frederick.garrison@sonrisalud.com,2
154,Margaret Garcia,Periodoncia,3836306605,margaret.garcia@sonrisalud.com,25
155,Karen Hill,Endodoncia,3199943753,karen.hill@sonrisalud.com,15
156,Whitney Ortega,Ortodoncia,3995069717,whitney.ortega@sonrisalud.com,7
157,Ashley Phelps,Ortodoncia,3548947982,ashley.phelps@sonrisalud.com,27
158,William Lam,Periodoncia,3188498613,william.lam@sonrisalud.com,21
159,Jennifer Flores,Ortodoncia,3638234219,jennifer.flores@sonrisalud.com,6
160,Anna Reyes,Odontologia General,3567723146,anna.reyes@sonrisalud.com,9
161,Teresa Nixon,Odontologia General,3328763457,teresa.nixon@sonrisalud.com,17
162,Alexa Beard,Odontologia General,3697317727,alexa.beard@sonrisalud.com,17
163,Shawn Cervantes,Periodoncia,3411463962,shawn.cervantes@sonrisalud.com,17
164,Stacy Hunt,Odontologia General,3417806514,stacy.hunt@sonrisalud.com,24
165,Scott Mendoza,Periodoncia,3138303086,scott.mendoza@sonrisalud.com,20
166,Brianna Williams,Endodoncia,3723568780,brianna.williams@sonrisalud.com,22
167,Steven Long,Periodoncia,3534701890,steven.long@sonrisalud.com,17
168,Nancy Butler,Ortodoncia,3763215394,nancy.butler@sonrisalud.com,5
169,Linda Rosales,Endodoncia,3628206976,linda.rosales@sonrisalud.com,15
170,John Stewart,Odontologia General,3928244615,john.stewart@sonrisalud.com,28
171,Daniel Campos,Ortodoncia,3214946453,daniel.campos@sonrisalud.com,14
172,Debbie Lopez,Odontologia General,3984091983,debbie.lopez@sonrisalud.com,19
173,Justin Carrillo,Periodoncia,3709295735,justin.carrillo@sonrisalud.com,22
174,William Trujillo,Odontologia General,3805559757,william.trujillo@sonrisalud.com,22
175,Regina Jones,Odontologia General,3445154280,regina.jones@sonrisalud.com,16
176,Bradley Smith,Endodoncia,3253241028,bradley.smith@sonrisalud.com,20
177,John Anderson,Ortodoncia,3783116298,john.anderson@sonrisalud.com,12
178,Joshua Johnson,Endodoncia,3714648893,joshua.johnson@sonrisalud.com,18
179,Stephen Gibson,Ortodoncia,3344980190,stephen.gibson@sonrisalud.com,14
180,Cory Silva,Periodoncia,3325081208,cory.silva@sonrisalud.com,1
181,Erin King,Endodoncia,345773626,erin.king@sonrisalud.com,3
182,Marie Carrillo,Periodoncia,3992128618,marie.carrillo@sonrisalud.com,31
183,Michael Graham,Ortodoncia,3119641199,michael.graham@sonrisalud.com,18
184,Erika Wilkerson,Odontologia General,3717399840,erika.wilkerson@sonrisalud.com,21
185,Emily Henderson,Endodoncia,3164245884,emily.henderson@sonrisalud.com,30
186,John Sandoval,Ortodoncia,3186732755,john.sandoval@sonrisalud.com,31
187,Jamie Peck,Ortodoncia,383909411,jamie.peck@sonrisalud.com,9
188,Jeffrey Kane,Endodoncia,3825107514,jeffrey.kane@sonrisalud.com,5
189,Donna Boone,Endodoncia,3259372911,donna.boone@sonrisalud.com,26
190,Drew Davis,Endodoncia,3766391684,drew.davis@sonrisalud.com,28
191,Walter Reeves,Odontologia General,3489883813,walter.reeves@sonrisalud.com,27
192,Debra Duncan,Periodoncia,3821020496,debra.duncan@sonrisalud.com,6
193,Emily Dean,Endodoncia,3903550415,emily.dean@sonrisalud.com,16
194,Ashley Ramos,Ortodoncia,3304034269,ashley.ramos@sonrisalud.com,11
195,Cynthia Scott,Ortodoncia,33054891,cynthia.scott@sonrisalud.com,26
196,Martha Martin,Odontologia General,3989972498,martha.martin@sonrisalud.com,30
197,Cheryl White,Periodoncia,3143893526,cheryl.white@sonrisalud.com,18
198,Karen Johnson,Periodoncia,3997627381,karen.johnson@sonrisalud.com,4
199,Linda Watts,Endodoncia,3439905027,linda.watts@sonrisalud.com,12
200,Matthew Baker,Odontologia General,3249146240,matthew.baker@sonrisalud.com,14
201,Elizabeth Coleman,Endodoncia,3442396328,elizabeth.coleman@sonrisalud.com,4
202,Stephen Pennington,Ortodoncia,3315170869,stephen.pennington@sonrisalud.com,18
203,Charles Rubio,Odontologia General,3257873447,charles.rubio@sonrisalud.com,19
204,Sarah Martinez,Odontologia General,3448406529,sarah.martinez@sonrisalud.com,31
205,Natasha Daniel,Odontologia General,320678752,natasha.daniel@sonrisalud.com,27
206,Jenna Hall,Periodoncia,3874210476,jenna.hall@sonrisalud.com,2
207,Tamara Johnson,Ortodoncia,3399660239,tamara.johnson@sonrisalud.com,2
208,Amber Warren,Periodoncia,383684975,amber.warren@sonrisalud.com,11
209,Julie Collins,Odontologia General,3767429378,julie.collins@sonrisalud.com,17
210,Alyssa Parks,Endodoncia,3847322936,alyssa.parks@sonrisalud.com,31
211,Mitchell Thomas,Ortodoncia,3705847817,mitchell.thomas@sonrisalud.com,26
212,Eric Flynn,Periodoncia,3511764894,eric.flynn@sonrisalud.com,10
213,Kelly Manning,Periodoncia,3628322590,kelly.manning@sonrisalud.com,18
214,James Barnes,Odontologia General,380625675,james.barnes@sonrisalud.com,29
215,Jacqueline Ellis,Ortodoncia,3504244550,jacqueline.ellis@sonrisalud.com,20
216,Michelle Smith,Ortodoncia,3618643492,michelle.smith@sonrisalud.com,1
217,Lori Carlson,Odontologia General,362919393,lori.carlson@sonrisalud.com,12
218,Eric Leach,Periodoncia,3898373326,eric.leach@sonrisalud.com,28
219,Keith Griffin,Ortodoncia,3364490460,keith.griffin@sonrisalud.com,8
220,Lauren Cox,Periodoncia,3668142114,lauren.cox@sonrisalud.com,7
221,Jasmine Thomas,Ortodoncia,3904024745,jasmine.thomas@sonrisalud.com,10
222,Stephen Guerrero,Periodoncia,380239419,stephen.guerrero@sonrisalud.com,26
223,Samuel White,Ortodoncia,3381913561,samuel.white@sonrisalud.com,29
224,Kim West,Ortodoncia,3922593206,kim.west@sonrisalud.com,31
225,Taylor Spencer,Periodoncia,3754597308,taylor.spencer@sonrisalud.com,26
226,Christopher Brown,Odontologia General,3704099126,christopher.brown@sonrisalud.com,29
227,Jimmy Thompson,Endodoncia,3593207911,jimmy.thompson@sonrisalud.com,8
228,Gina Torres,Ortodoncia,3456971578,gina.torres@sonrisalud.com,21
229,Mitchell Powell,Periodoncia,3104755250,mitchell.powell@sonrisalud.com,19
230,Mary Morales,Odontologia General,3297501822,mary.morales@sonrisalud.com,30
231,Andrew Merritt,Periodoncia,3529269637,andrew.merritt@sonrisalud.com,24
232,Dawn Walsh,Odontologia General,3513175061,dawn.walsh@sonrisalud.com,15
233,Kathryn Quinn,Odontologia General,3396901662,kathryn.quinn@sonrisalud.com,3
234,Mark Woods,Periodoncia,3706405997,mark.woods@sonrisalud.com,24
235,Mark Andrews,Endodoncia,373631086,mark.andrews@sonrisalud.com,8
236,Amber Petersen MD,Periodoncia,3227397112,amber.petersen.md@sonrisalud.com,6
237,Victoria Sims,Odontologia General,3112428526,victoria.sims@sonrisalud.com,26
238,Jeffrey Adams,Endodoncia,3197886745,jeffrey.adams@sonrisalud.com,16
239,Rebecca Martinez,Periodoncia,3896678663,rebecca.martinez@sonrisalud.com,5
240,Amber Rivas,Periodoncia,3968962696,amber.rivas@sonrisalud.com,24
241,Angel Logan,Periodoncia,3908196400,angel.logan@sonrisalud.com,3
242,Joseph Johnson,Ortodoncia,3404831419,joseph.johnson@sonrisalud.com,14
243,Kristina Martinez,Ortodoncia,3651661601,kristina.martinez@sonrisalud.com,6
244,Shawn Jones DVM,Odontologia General,3315034207,shawn.jones.dvm@sonrisalud.com,2
245,Bobby Taylor,Ortodoncia,351951524,bobby.taylor@sonrisalud.com,18
246,Karen Moreno,Periodoncia,3577235725,karen.moreno@sonrisalud.com,9
247,Jasmine Williams,Endodoncia,3776923081,jasmine.williams@sonrisalud.com,11
248,Bradley Lee,Endodoncia,3321334869,bradley.lee@sonrisalud.com,24
249,Kristen Harper,Endodoncia,3739793753,kristen.harper@sonrisalud.com,9
250,Timothy Chavez,Endodoncia,3694271032,timothy.chavez@sonrisalud.com,29
251,Christopher Jones,Periodoncia,395167662,christopher.jones@sonrisalud.com,29
252,David Winters,Periodoncia,3969180395,david.winters@sonrisalud.com,10
253,Monica Owens,Ortodoncia,3665807629,monica.owens@sonrisalud.com,19
254,Shannon Edwards,Odontologia General,3984205951,shannon.edwards@sonrisalud.com,29
255,Jacob Griffin,Periodoncia,3356464081,jacob.griffin@sonrisalud.com,30
256,Derek Wade,Ortodoncia,3406408231,derek.wade@sonrisalud.com,22
257,Shannon Mcmillan,Periodoncia,3994963150,shannon.mcmillan@sonrisalud.com,2
258,Paul Rivera,Odontologia General,345145861,paul.rivera@sonrisalud.com,3
259,Becky Hoffman,Odontologia General,3463870745,becky.hoffman@sonrisalud.com,22
260,Morgan Ray,Endodoncia,3913199885,morgan.ray@sonrisalud.com,16
261,Jesse Cruz,Endodoncia,3901640140,jesse.cruz@sonrisalud.com,3
262,William Chan,Periodoncia,366569763,william.chan@sonrisalud.com,23
263,Douglas Morales,Endodoncia,3214961131,douglas.morales@sonrisalud.com,20
264,Brian Nichols,Odontologia General,3323378777,brian.nichols@sonrisalud.com,8
265,Brian Johnson,Periodoncia,3778428719,brian.johnson@sonrisalud.com,17
266,Michael Lamb,Endodoncia,3428094065,michael.lamb@sonrisalud.com,18
267,Nicholas Rogers,Periodoncia,3247867296,nicholas.rogers@sonrisalud.com,4
268,Alexandra Wolfe,Endodoncia,3386677458,alexandra.wolfe@sonrisalud.com,23
269,Michael Wu,Ortodoncia,360243516,michael.wu@sonrisalud.com,16
270,David Willis,Ortodoncia,3686193841,david.willis@sonrisalud.com,16
271,Darin Ward,Odontologia General,3916242293,darin.ward@sonrisalud.com,6
272,Daniel Robinson,Endodoncia,370429843,daniel.robinson@sonrisalud.com,20
273,Alexa Green,Endodoncia,3921070605,alexa.green@sonrisalud.com,29
274,Daisy Gomez,Periodoncia,3936860067,daisy.gomez@sonrisalud.com,7
275,Sandra Garcia,Endodoncia,315634315,sandra.garcia@sonrisalud.com,19
276,Terry Reese,Odontologia General,3241640611,terry.reese@sonrisalud.com,15
277,Karen Johnson,Endodoncia,3597620879,karen.johnson@sonrisalud.com,23
278,Barbara Olson,Odontologia General,3852602464,barbara.olson@sonrisalud.com,26
279,Jason Kennedy,Ortodoncia,3726857048,jason.kennedy@sonrisalud.com,17
280,Carla Reynolds,Ortodoncia,3986226461,carla.reynolds@sonrisalud.com,13
281,Debra Cohen,Odontologia General,3663971312,debra.cohen@sonrisalud.com,23
282,Brittany Baxter,Ortodoncia,3976172857,brittany.baxter@sonrisalud.com,22
283,Jennifer Johnson,Ortodoncia,3604638522,jennifer.johnson@sonrisalud.com,12
284,Samantha Kelly,Ortodoncia,3681548024,samantha.kelly@sonrisalud.com,13
285,Guy Kennedy,Ortodoncia,3165605355,guy.kennedy@sonrisalud.com,15
286,Jeremy Thompson,Endodoncia,3823452778,jeremy.thompson@sonrisalud.com,4
287,Eric Patterson,Endodoncia,3853633062,eric.patterson@sonrisalud.com,14
288,Amy Peters,Periodoncia,32857572,amy.peters@sonrisalud.com,17
289,Brian Coleman,Endodoncia,3269073311,brian.coleman@sonrisalud.com,16
290,Jessica Hicks,Endodoncia,324442519,jessica.hicks@sonrisalud.com,8
291,Julia Rodriguez,Ortodoncia,3554001829,julia.rodriguez@sonrisalud.com,20
292,Holly Thompson,Ortodoncia,3324462128,holly.thompson@sonrisalud.com,3
293,Justin Macias,Endodoncia,3638836250,justin.macias@sonrisalud.com,7
294,Aaron Gilbert,Ortodoncia,3707530810,aaron.gilbert@sonrisalud.com,23
295,Kevin Mitchell,Ortodoncia,3678463010,kevin.mitchell@sonrisalud.com,14
296,Thomas Myers,Ortodoncia,3948758499,thomas.myers@sonrisalud.com,19
297,Kathleen Stanton,Odontologia General,392532621,kathleen.stanton@sonrisalud.com,3
298,David Hanson,Odontologia General,3617161684,david.hanson@sonrisalud.com,6
299,Angela Werner,Odontologia General,3661242969,angela.werner@sonrisalud.com,5
300,Timothy Young,Periodoncia,3872498628,timothy.young@sonrisalud.com,4
301,James Barber,Endodoncia,3459830789,james.barber@sonrisalud.com,20
302,Rachel Martin,Odontologia General,3868911266,rachel.martin@sonrisalud.com,18
303,Earl Jackson,Odontologia General,3747227547,earl.jackson@sonrisalud.com,6
304,Alex Maxwell,Ortodoncia,3939259870,alex.maxwell@sonrisalud.com,13
305,Mason Barnes,Odontologia General,3673843486,mason.barnes@sonrisalud.com,26
306,Katherine Brown,Periodoncia,3686699582,katherine.brown@sonrisalud.com,26
307,Lisa Rivera,Ortodoncia,3507169911,lisa.rivera@sonrisalud.com,20
308,David Weaver,Periodoncia,3572570856,david.weaver@sonrisalud.com,30
309,Edwin Rivers,Ortodoncia,3211442176,edwin.rivers@sonrisalud.com,5
310,Michelle Sparks,Odontologia General,3226261976,michelle.sparks@sonrisalud.com,8
311,Alison Miller,Ortodoncia,3859431856,alison.miller@sonrisalud.com,21
312,Donald Powell V,Ortodoncia,3625942391,donald.powell.v@sonrisalud.com,27
313,Clarence Freeman,Ortodoncia,3465252022,clarence.freeman@sonrisalud.com,22
314,Kristine Vaughn,Ortodoncia,3838522969,kristine.vaughn@sonrisalud.com,13
315,Wendy Rojas,Endodoncia,3948099795,wendy.rojas@sonrisalud.com,14
316,Eric Roberts,Ortodoncia,3549342586,eric.roberts@sonrisalud.com,23
317,Omar Ford,Ortodoncia,3459641799,omar.ford@sonrisalud.com,14
318,Caitlin Hernandez,Odontologia General,3819350543,caitlin.hernandez@sonrisalud.com,2
319,Joshua Nguyen,Periodoncia,3133036879,joshua.nguyen@sonrisalud.com,17
320,Morgan Reese,Periodoncia,3535899195,morgan.reese@sonrisalud.com,1
321,Robert Marshall,Endodoncia,3289511291,robert.marshall@sonrisalud.com,25
322,Jennifer Garza,Ortodoncia,328524340,jennifer.garza@sonrisalud.com,5
323,James Johnson,Endodoncia,3587053620,james.johnson@sonrisalud.com,29
324,Becky Williams,Periodoncia,3306218460,becky.williams@sonrisalud.com,19
325,Jonathan Brown,Periodoncia,3821435342,jonathan.brown@sonrisalud.com,3
326,Jonathan Ramirez,Endodoncia,330844876,jonathan.ramirez@sonrisalud.com,5
327,Jack Davis,Periodoncia,3667123787,jack.davis@sonrisalud.com,31
328,Adrian Hansen,Odontologia General,3634592979,adrian.hansen@sonrisalud.com,13
329,Michael Bryan,Ortodoncia,3547222753,michael.bryan@sonrisalud.com,7
330,Stephen Harris,Periodoncia,3969961141,stephen.harris@sonrisalud.com,31
331,David Sanford,Periodoncia,3153709685,david.sanford@sonrisalud.com,25
332,Meghan Quinn,Ortodoncia,3103439650,meghan.quinn@sonrisalud.com,19
333,Michael Landry,Endodoncia,3274296905,michael.landry@sonrisalud.com,18
334,Cody Martinez,Periodoncia,325139686,cody.martinez@sonrisalud.com,31
335,Aaron Fox,Odontologia General,3322177376,aaron.fox@sonrisalud.com,24
336,Dawn Bailey,Endodoncia,3749383825,dawn.bailey@sonrisalud.com,22
337,Mrs. Lisa Blake MD,Ortodoncia,360719714,mrs..lisa.blake.md@sonrisalud.com,27
338,Jamie Cross,Ortodoncia,3681316317,jamie.cross@sonrisalud.com,20
